ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11820093,JC423408,9/6/2019 23:30,016XX N HAMLIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2535,25,26,23,14,1150794,1910728,2019,9/13/2019 16:16,41.9109333,-87.72147117,"(41.910933299, -87.721471171)",10,22535,24,391,49,1,6,193
11819913,JC423197,9/6/2019 23:30,005XX S JEFFERSON ST,031A,ROBBERY,ARMED: HANDGUN,OTHER COMMERCIAL TRANSPORTATION,FALSE,FALSE,124,1,25,28,3,1172411,1897778,2019,9/13/2019 16:16,41.87494711,-87.6424413,"(41.87494711, -87.6424413)",48,14917,29,97,26,44,22,147
11825043,JC429115,9/6/2019 23:30,052XX N BROADWAY,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,,FALSE,FALSE,2023,20,48,77,11,,,2019,9/13/2019 16:16,,,,,,,,,,,
11819962,JC423113,9/6/2019 23:29,081XX S ASHLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,FALSE,FALSE,614,6,21,71,26,1167087,1850840,2019,9/13/2019 16:16,41.74625997,-87.66333229,"(41.746259974, -87.663332294)",18,21554,70,558,13,59,20,237
11819875,JC423115,9/6/2019 23:24,029XX S UNION AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,914,9,11,60,04B,1172106,1885426,2019,9/13/2019 16:16,41.841059,-87.64392527,"(41.841058999, -87.643925271)",26,21194,58,688,48,40,23,157
11819804,JC423131,9/6/2019 23:15,022XX N MAJOR AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,TRUE,FALSE,2515,25,36,19,15,1138017,1914408,2019,9/13/2019 16:16,41.92127216,-87.76832094,"(41.921272161, -87.768320937)",4,22615,19,57,44,2,6,133
11819802,JC423145,9/6/2019 23:15,024XX S WOLCOTT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,WAREHOUSE,FALSE,FALSE,1034,10,25,31,14,1164089,1887899,2019,9/13/2019 16:16,41.84801798,-87.67327499,"(41.848017977, -87.673274987)",8,14920,33,126,26,43,21,159
11819925,JC423122,9/6/2019 23:14,002XX W 87TH ST,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,634,6,21,44,3,1176454,1847227,2019,9/13/2019 16:16,41.73614018,-87.62911796,"(41.73614018, -87.62911796)",18,21554,40,1,13,59,20,236
11819941,JC423125,9/6/2019 23:13,067XX S PARNELL AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,TRUE,722,7,6,68,6,1173731,1860274,2019,9/13/2019 16:16,41.77200348,-87.63870811,"(41.772003478, -87.638708111)",31,21559,66,479,32,11,17,201
11819799,JC423094,9/6/2019 23:05,002XX W 37TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,915,9,11,34,14,1174977,1880424,2019,9/13/2019 16:16,41.82726938,-87.63353935,"(41.827269376, -87.633539347)",26,14924,35,296,48,37,23,170
11819794,JC423119,9/6/2019 23:05,022XX N MARMORA AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,FALSE,TRUE,2515,25,36,19,04B,1136699,1914159,2019,9/13/2019 16:16,41.9206126,-87.77316964,"(41.920612604, -87.773169641)",4,22615,19,57,44,2,6,133
11820115,JC423459,9/6/2019 23:00,037XX W 30TH ST,920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,FALSE,FALSE,1031,10,22,30,7,1151596,1884451,2019,9/13/2019 16:16,41.83881058,-87.71921557,"(41.838810577, -87.719215565)",14,21569,32,234,28,57,21,167
11821186,JC424729,9/6/2019 23:00,035XX W 79TH PL,810,THEFT,OVER $500,STREET,FALSE,FALSE,834,8,18,70,6,1154006,1851650,2019,9/13/2019 16:16,41.74875226,-87.71124296,"(41.748752255, -87.711242964)",6,4300,69,199,30,8,13,232
11822753,JC426397,9/6/2019 23:00,021XX W PRATT BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2411,24,50,2,14,1160554,1945126,2019,9/13/2019 16:16,42.00512657,-87.68465973,"(42.005126566, -87.684659731)",42,22528,20,268,27,12,11,35
11821158,JC424684,9/6/2019 23:00,025XX N HALSTED ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1935,19,43,7,6,1170505,1917288,2019,9/13/2019 16:16,41.9285256,-87.64886776,"(41.928525595, -87.648867761)",51,21190,68,794,34,16,5,178
11820450,JC423967,9/6/2019 23:00,003XX N LA SALLE DR,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,1831,18,42,8,6,1175073,1902851,2019,9/13/2019 16:16,41.88880851,-87.63251553,"(41.888808508, -87.632515533)",22,4446,37,670,36,55,14,73
11820587,JC424117,9/6/2019 23:00,067XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,FALSE,TRUE,725,7,16,67,08B,1166831,1860122,2019,9/13/2019 16:16,41.77173651,-87.66400571,"(41.771736514, -87.66400571)",17,22257,65,284,2,23,17,204
11821268,JC424777,9/6/2019 22:56,011XX W BELDEN AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1811,18,43,7,5,1168397,1915441,2019,9/13/2019 16:16,41.92350325,-87.65666745,"(41.923503246, -87.656667452)",16,21190,68,797,34,16,14,186
11819770,JC423097,9/6/2019 22:51,047XX W GLADYS AVE,2026,NARCOTICS,POSS: PCP,SIDEWALK,TRUE,FALSE,1131,11,28,25,18,1144757,1897933,2019,9/13/2019 16:16,41.8759384,-87.74397208,"(41.875938396, -87.743972082)",36,22216,26,69,23,32,16,143
11819760,JC423089,9/6/2019 22:50,003XX S DESPLAINES ST,1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,APARTMENT,FALSE,FALSE,121,1,42,28,17,1171987,1898575,2019,9/13/2019 16:16,41.87714349,-87.64397454,"(41.877143487, -87.643974538)",48,4452,29,786,36,45,22,91
11819819,JC423110,9/6/2019 22:50,099XX S DR MARTIN LUTHER KING JR DR,2020,NARCOTICS,POSS: AMPHETAMINES,STREET,TRUE,FALSE,511,5,9,49,18,1180655,1839295,2019,9/13/2019 16:16,41.71427844,-87.61396994,"(41.714278436, -87.613969936)",31,21861,45,567,43,19,10,250
11819873,JC423142,9/6/2019 22:50,002XX S JEFFERSON ST,460,BATTERY,SIMPLE,STREET,TRUE,FALSE,121,1,42,28,08B,1172371,1899054,2019,9/13/2019 16:16,41.87844942,-87.64255046,"(41.878449423, -87.642550457)",48,4452,29,786,36,45,22,91
11819803,JC423088,9/6/2019 22:50,061XX S KARLOV AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,813,8,23,65,14,1150089,1863608,2019,9/13/2019 16:16,41.78164381,-87.72528672,"(41.781643811, -87.725286717)",23,21867,63,292,6,58,13,271
11819793,JC423090,9/6/2019 22:50,013XX N LUIS MUNOZ MARIN DR W,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,PARK PROPERTY,TRUE,FALSE,1423,14,26,24,14,1155034,1908780,2019,9/13/2019 16:16,41.90550376,-87.70594717,"(41.905503761, -87.705947165)",10,21560,25,301,49,4,7,62
11819836,JC423099,9/6/2019 22:49,119XX S CALUMET AVE,498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,532,5,9,53,04B,1180377,1825700,2019,9/13/2019 16:16,41.67697825,-87.61540309,"(41.676978245, -87.615403088)",30,21861,50,504,43,19,10,219
11819852,JC423074,9/6/2019 22:45,011XX W EDDY ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,TRUE,FALSE,1924,19,44,6,15,1168150,1923730,2019,9/13/2019 16:16,41.94625401,-87.65733486,"(41.946254007, -87.657334863)",38,4449,57,211,25,22,5,28
11819800,JC423092,9/6/2019 22:44,011XX S WESTERN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1225,12,28,28,08B,1160553,1894887,2019,9/13/2019 16:16,41.8672676,-87.68605893,"(41.867267602, -87.686058929)",11,21184,29,756,23,28,16,146
11819766,JC423093,9/6/2019 22:40,087XX S COTTAGE GROVE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,TRUE,FALSE,632,6,8,44,18,1183089,1847266,2019,9/13/2019 16:16,41.73609565,-87.60480867,"(41.73609565, -87.604808666)",31,21546,40,407,35,61,20,241
11819874,JC423068,9/6/2019 22:37,081XX S DREXEL AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,631,6,8,44,7,1183652,1851146,2019,9/13/2019 16:16,41.7467297,-87.60262536,"(41.746729695, -87.602625355)",9,21546,40,247,35,61,20,235
11823903,JC427713,9/6/2019 22:35,026XX W Altgeld St,810,THEFT,OVER $500,STREET,FALSE,FALSE,1431,14,32,22,6,1158164,1916513,2019,9/13/2019 16:16,41.92666032,-87.69423791,"(41.926660319, -87.694237913)",15,22535,23,468,40,1,7,184
11819856,JC423102,9/6/2019 22:31,010XX N DRAKE AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,FALSE,TRUE,1121,11,27,23,26,1152516,1906797,2019,9/13/2019 16:16,41.90011238,-87.71524916,"(41.900112384, -87.715249162)",41,4299,24,423,46,5,16,65
11819870,JC423148,9/6/2019 22:30,0000X S FRANKLIN ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,122,1,42,32,3,1174333,1900280,2019,9/13/2019 16:16,41.88177008,-87.63530987,"(41.881770084, -87.635309866)",48,14914,38,92,36,46,22,79
11819822,JC423126,9/6/2019 22:30,111XX S VINCENNES AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,2212,22,19,75,04A,1166983,1830589,2019,9/13/2019 16:16,41.6906903,-87.66429002,"(41.690690299, -87.664290021)",45,22212,74,378,22,13,9,263
11819850,JC423156,9/6/2019 22:30,038XX W FLOURNOY ST,031B,ROBBERY,ARMED: OTHER FIREARM,SIDEWALK,FALSE,FALSE,1133,11,24,26,3,1150808,1896753,2019,9/13/2019 16:16,41.87258418,-87.72178565,"(41.872584178, -87.72178565)",36,21572,27,702,14,30,16,141
11821093,JC423284,9/6/2019 22:30,011XX E 82ND ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,FALSE,FALSE,411,4,8,45,7,1185080,1850848,2019,9/13/2019 16:16,41.74587856,-87.59740221,"(41.745878556, -87.597402208)",9,21546,40,133,35,61,19,224
11819857,JC423202,9/6/2019 22:30,014XX W WEBSTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1811,18,2,7,14,1165981,1914731,2019,9/13/2019 16:16,41.92160694,-87.66556501,"(41.921606937, -87.665565006)",16,21190,68,210,11,16,14,186
11822336,JC425946,9/6/2019 22:30,044XX S HONORE ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,924,9,15,61,6,1164761,1875215,2019,9/13/2019 16:16,41.81319754,-87.67116754,"(41.813197539, -87.671167537)",29,14924,59,706,3,37,23,108
11819847,JC423050,9/6/2019 22:26,0000X S HOMAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,1123,11,28,27,08B,1153727,1899665,2019,9/13/2019 16:16,41.88051744,-87.7109911,"(41.880517444, -87.710991098)",11,21572,28,765,23,30,16,123
11819762,JC423059,9/6/2019 22:26,031XX N KEATING AVE,2022,NARCOTICS,POSS: COCAINE,ALLEY,TRUE,FALSE,2521,25,31,19,18,1144170,1920368,2019,9/13/2019 16:16,41.93751351,-87.74556292,"(41.937513511, -87.745562924)",7,22618,19,460,17,21,6,176
11819761,JC423052,9/6/2019 22:25,051XX W DEMING PL,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,FALSE,FALSE,2521,25,31,19,26,1141716,1916481,2019,9/13/2019 16:16,41.92689301,-87.75467833,"(41.926893007, -87.754678331)",7,22615,19,304,17,2,6,176
11819774,JC423065,9/6/2019 22:22,002XX S WHIPPLE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VACANT LOT/LAND,TRUE,FALSE,1124,11,28,27,15,1156082,1898748,2019,9/13/2019 16:16,41.87795392,-87.70236848,"(41.877953918, -87.70236848)",11,21184,28,737,23,28,16,123
